Table,Version Name,Version,URL,Scraped Date
Table 1, | SDK Installer | SDK Binaries | Runtime Installer | Runtime Binaries | ASP.NET Core Runtime | Windows Desktop Runtime,Windows,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 1, | SDK Installer | SDK Binaries | Runtime Installer | Runtime Binaries | ASP.NET Core Runtime | Windows Desktop Runtime,macOS,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 1, | SDK Installer | SDK Binaries | Runtime Installer | Runtime Binaries | ASP.NET Core Runtime | Windows Desktop Runtime,Linux,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.WindowsDesktop.App.Runtime.win-x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.WindowsDesktop.App.Runtime.win-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.WindowsDesktop.App.Ref,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.WindowsDesktop.App.Runtime.win-x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Windows.Compatibility,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NET.Runtime.MonoTargets.Sdk.Msi.arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NET.Runtime.WebAssembly.Sdk,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.android-arm,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NET.ILLink.Tasks,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NET.Runtime.WebAssembly.Templates,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NET.Runtime.WebAssembly.Wasi.Sdk,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NET.Runtime.WebAssembly.Templates.Msi.arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NET.Runtime.WebAssembly.Templates.Msi.x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NET.Workload.Mono.ToolChain.net7.Manifest-8.0.100.Msi.x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Crossgen2.linux-arm,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NET.Workload.Mono.ToolChain.net7.Manifest-8.0.100.Msi.arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Crossgen2.win-x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Host.osx-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.linux-arm64.Cross.android-x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.linux-arm64.Cross.android-x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.linux-arm64.Cross.browser-wasm,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm.Msi.arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.linux-bionic-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.linux-musl-x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.linux-x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.android-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.ios-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.iossimulator-x64.Msi.x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.linux-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.multithread.browser-wasm.Msi.x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.tvossimulator-x64.Msi.x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.tvossimulator-x64.Msi.x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.wasi-wasm,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.win-x86.Msi.x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.win-x64.Msi.x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.linux-musl-arm.Microsoft.NETCore.DotNetHost,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.linux-musl-arm64.Microsoft.NETCore.DotNetHostPolicy,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.linux-musl-arm64.Microsoft.NETCore.ILAsm,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.linux-musl-arm64.Microsoft.NETCore.ILDAsm,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.osx-arm64.Microsoft.NETCore.DotNetHost,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.osx-arm64.Microsoft.NETCore.DotNetHostResolver,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.win-x64.Microsoft.DotNet.ILCompiler,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.win-arm64.Microsoft.NETCore.DotNetHost,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.win-x64.Microsoft.NETCore.ILDAsm,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,System.Threading.Channels,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,System.Threading.RateLimiting,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Extensions.Configuration.FileExtensions,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Host.linux-musl-arm,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Extensions.Configuration.EnvironmentVariables,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Bcl.AsyncInterfaces,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Bcl.Cryptography,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Bcl.Numerics,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Extensions.Configuration.Abstractions,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Extensions.Configuration.CommandLine,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Extensions.Configuration.Json,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Extensions.Configuration.UserSecrets,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Extensions.DependencyInjection,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Extensions.Configuration.Ini,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Extensions.Diagnostics.Abstractions,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Extensions.DependencyInjection.Specification.Tests,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Extensions.FileProviders.Physical,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Extensions.Diagnostics,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Extensions.Options.DataAnnotations,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Extensions.Primitives,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NET.Runtime.MonoAOTCompiler.Task.Msi.x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NET.Runtime.MonoAOTCompiler.Task.Msi.x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NET.Runtime.MonoTargets.Sdk.Msi.x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NET.Runtime.wasm.Sample.Mono,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NET.Workload.Mono.ToolChain.Current.Manifest-8.0.100.Msi.x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NET.WebAssembly.Threading,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NET.Workload.Mono.ToolChain.net6.Manifest-8.0.100.Msi.x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NET.Workload.Mono.ToolChain.Current.Manifest-8.0.100.Msi.arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NET.Workload.Mono.ToolChain.net6.Manifest-8.0.100,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Crossgen2.linux-musl-arm,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Crossgen2.linux-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Crossgen2.osx-x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.linux-x64.Cross.android-arm,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.osx-arm64.Cross.android-x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.osx-arm64.Cross.iossimulator-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.osx-arm64.Cross.maccatalyst-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.osx-x64.Cross.android-arm,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.osx-x64.Cross.maccatalyst-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.osx-x64.Cross.tvossimulator-x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm.Msi.x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64.Msi.arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x64.Msi.x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.android-arm.Msi.x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.android-arm64.Msi.x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.android-arm64.Msi.x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.android-x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.android-x86.Msi.x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.android-x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.android-x86.Msi.x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.ios-arm64.Msi.x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.maccatalyst-arm64.Msi.arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.tvossimulator-x64.Msi.arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.NativeAOT.linux-bionic-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.linux-x64.Microsoft.DotNet.ILCompiler,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.linux-musl-arm64.Microsoft.NETCore.DotNetHostResolver,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.linux-musl-x64.Microsoft.NETCore.DotNetHost,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.linux-musl-x64.Microsoft.NETCore.ILAsm,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.linux-musl-x64.Microsoft.NETCore.ILDAsm,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,dotnet-ilverify,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Extensions.DependencyInjection.Abstractions,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Extensions.Logging.TraceSource,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Extensions.Options,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Crossgen2.win-x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Host.linux-musl-x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Host.linux-x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Host.osx-x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Host.linux-bionic-x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Host.linux-musl-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Ref,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.linux-x64.Cross.android-x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.linux-x64.Cross.android-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.osx-arm64.Cross.android-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.osx-arm64.Cross.android-arm,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.osx-arm64.Cross.ios-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.osx-x64.Cross.android-x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.osx-x64.Cross.iossimulator-x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.osx-x64.Cross.iossimulator-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.AOT.osx-x64.Cross.tvossimulator-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.android-arm.Msi.arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.android-arm.Msi.x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.android-x64.Msi.arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.android-x86.Msi.arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.browser-wasm.Msi.arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.linux-musl-x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.LLVM.AOT.linux-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.linux-x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.maccatalyst-x64.Msi.arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.maccatalyst-x64.Msi.x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.Mono.wasi-wasm.Msi.x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.NativeAOT.iossimulator-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.NativeAOT.tvossimulator-x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.win-arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.win-x64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.win-x64.Msi.x86,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.NETCore.App.Runtime.win-x86.Msi.arm64,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.linux-arm64.Microsoft.DotNet.ILCompiler,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,Microsoft.Win32.SystemEvents,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.linux-arm.Microsoft.NETCore.DotNetAppHost,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.linux-arm.Microsoft.NETCore.ILDAsm,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.linux-arm64.Microsoft.NETCore.ILAsm,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.linux-bionic-arm64.Microsoft.NETCore.DotNetAppHost,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.linux-bionic-x64.Microsoft.NETCore.DotNetAppHost,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.linux-bionic-arm64.Microsoft.NETCore.DotNetHostResolver,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.linux-bionic-x64.Microsoft.NETCore.DotNetHostPolicy,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.linux-bionic-x64.Microsoft.NETCore.DotNetHost,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,runtime.win-x64.Microsoft.NETCore.DotNetHost,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,System.DirectoryServices.AccountManagement,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,System.DirectoryServices,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
Table 2,Package name | Version,System.IO.Hashing,https://versionsof.net/core/8.0/8.0.0/,14-10-2025
